RRC,28.04000092,28.30999947,27.24731255,28.04000092,28.72999954,1017900,25/08/2006
EGHT,3,2.875,2.875,2.875,3.531199932,228100,25/08/1998
FLWS,2.089999914,2.029999971,2.029999971,2.029999971,2.470000029,355900,24/06/2009
PEY,10.81000042,10.78999996,8.958790779,10.72000027,10.81000042,66600,24/05/2013
AHL,23.75,23.68000031,17.42749214,23.60000038,23.75,44400,18/05/2004
GTT,1.100000024,1.100000024,1.100000024,1.100000024,1.100000024,15800,11/10/2011
MHD,17.12999916,17.04999924,7.35579586,17.04999924,17.14999962,17700,13/09/2005
EGHT,4.3125,4.1875,4.1875,3.875,4.468699932,164800,28/10/1999
BRFS,14.63249969,14.33500004,12.74219608,14.29749966,14.80000019,386800,20/06/2008
FLWS,10.14999962,10.39999962,10.39999962,10.14999962,10.5,135200,17/11/2016
AAPL,4.839285851,4.761160851,3.199496269,4.622767925,4.982142925,82140800,03/04/2000
VIAV,15.56313992,15.42662144,15.42662144,15.29010201,15.69965839,5516600,05/05/2006
APO,17.31999969,17.75,12.09051323,17.31999969,17.96999931,430700,26/05/2011
GTN,14.59000015,14.72000027,12.00144863,14.32999992,14.72000027,99100,03/02/2005
RRC,16.97999954,16.82999992,16.74834633,16.67000008,17.29999924,10424900,09/08/2017
AMSWA,2.593699932,2.593699932,1.22480309,2.375,2.625,34600,19/02/1999
PEZ,41.84999847,41.93999863,41.33556747,41.84000015,41.97000122,12400,27/05/2016
GTN,10.61999989,10.35999966,10.35999966,10.21000004,10.61999989,311600,20/05/2014
RRC,5.333330154,5.333330154,4.679829597,5.166669846,5.333330154,18000,08/03/1994
MHF,9.375,9.375,2.659194708,9.25,9.375,13800,08/01/1997
GTN,1.5,1.559999943,1.559999943,1.5,1.559999943,187900,16/07/2012
CLWT,2.480000019,2.559999943,2.559999943,2.480000019,2.559999943,800,02/10/2015
AMSWA,8.569999695,8.670000076,6.841576576,8.550000191,8.68999958,22600,22/02/2013
FLWS,7.349999905,7.230000019,7.230000019,7.210000038,7.460000038,202900,11/04/2016
RAVN,0.447916657,0.447916657,0.000669646,0.444444448,0.447916657,72800,11/05/1987
RAVN,0.447916657,0.440972209,0.000557426,0.440972209,0.447916657,48000,12/02/1987
FLWS,7.230000019,7.210000038,7.210000038,7.099999905,7.28000021,177700,16/08/2004
FLWS,3.099999905,3.150000095,3.150000095,3.059999943,3.180000067,87800,06/06/2012
GTT,2.00999999,1.950000048,1.950000048,1.950000048,2.00999999,2500,19/04/2007
RAVN,1.916666627,1.848958373,0.107925683,1.848958373,1.916666627,364800,01/04/1997
AMSWA,6.769999981,6.619999886,4.703159809,6.599999905,6.920000076,308600,11/08/2011
PEY,12.96000004,12.80000019,8.356598854,11.96000004,12.96000004,43100,15/02/2008
VIAV,6.734926224,6.825938702,6.825938702,6.370875835,6.96245718,21458800,12/04/2005
GTN,11.02999973,11.01000023,10.58063889,10.81999969,11.15999985,279000,23/04/2007
GTN,10.35000038,10.39999962,10.39999962,10.27999973,10.5,876000,18/01/2017
GTT,2.49000001,2.650000095,2.650000095,2.480000019,2.650000095,800,09/11/2012
CAAS,21.82999992,21.78000069,21.34294319,21.5,22.18000031,424100,21/04/2010
CAAS,6.690000057,6.690000057,6.555752277,6.659999847,6.929999828,32800,18/01/2006
CLWT,21.94499969,19.85499954,19.85499954,19.46999931,22.11000061,29500,01/11/2007
RAVN,30.43499947,30.63999939,26.71778679,30.40500069,31.29999924,95400,17/11/2011
AHL,23.97999954,24,17.70656586,23.90999985,24.04999924,62500,09/11/2004
CCNE,10.3760004,10.39599991,4.995334625,10.3760004,10.39599991,5700,15/05/2002
RAVN,9,9,5.867245197,8.62250042,9,81600,06/07/2004
AMSWA,2.799999952,2.769999981,1.308056116,2.769999981,2.799999952,2100,11/09/2002
RAVN,15.67000008,15.39000034,14.77382755,15.36999989,15.77000046,75000,05/05/2016
CLWT,10.61499977,10.67000008,10.67000008,10.50500011,10.72500038,1700,07/09/2006
AMSWA,8.890000343,8.800000191,6.336801052,8.720000267,8.909999847,70700,14/11/2011
MHD,15.86999989,15.81999969,6.044974804,15.77000046,15.86999989,21800,15/01/2004
GTN,15.05000019,15.19999981,15.19999981,14.94999981,15.30000019,537500,25/07/2018
BRFS,14.5,14.21000004,14.21000004,14.14999962,14.55000019,1018200,13/01/2017
AMSWA,5.944444656,5.944444656,2.28780961,5.777777672,6,98100,29/09/1987
AMSWA,5.888888836,5.611111164,2.172252178,5.555555344,5.888888836,72900,24/03/1988
AHL,23.32999992,22.75,17.42001152,22.60000038,23.32999992,245000,02/08/2006
CAAS,7.179999828,6.929999828,6.790935993,6.929999828,7.210000038,72200,24/07/2007
AMSWA,5.179999828,5.139999866,3.511185646,5.130000114,5.210000038,21100,16/09/2010
EGHT,10.75,10.625,10.625,10.625,11.125,147600,08/01/1998
AHL,22.5,22.79000092,17.45064163,22.5,22.89999962,243900,24/07/2006
GHDX,23.87999916,24.67000008,24.67000008,23.5,24.79000092,181900,12/08/2015
AMSWA,10.39999962,10.43000031,9.654726028,10.38000011,10.51000023,10500,29/12/2016
MHD,18.18000031,18.20000076,13.10921383,18.14999962,18.21999931,26700,30/04/2013
RAVN,2.012500048,1.913750052,0.828463435,1.912500024,2.012500048,48000,20/09/2001
VIAV,7.559727192,7.622298241,7.622298241,7.542662144,7.872582436,11287000,28/06/2007
EGHT,2.660000086,2.569999933,2.569999933,2.529999971,2.730000019,633600,26/05/2004
GTN,10.48999977,10.64999962,10.64999962,10.30000019,10.68000031,725500,06/07/2016
FLWS,7.510000229,7.420000076,7.420000076,7.190000057,7.650000095,145800,25/05/2005
RRC,16.34000015,16.45332909,15.76411915,16.15999985,16.52667046,1311600,05/04/2005
GTN,13.93000031,13.85999966,13.85999966,13.84000015,14.11999989,524600,07/04/2015
MHF,8.75,8.75,2.219671488,8.75,8.875,13500,30/05/1995
RRC,2.708329916,2.708329916,2.562932968,2.708329916,2.75,54000,19/05/1999
GHDX,16.60000038,17.51000023,17.51000023,16.35000038,17.87000084,276700,29/10/2008
EGHT,7.110000134,7.150000095,7.150000095,6.980000019,7.170000076,1172800,16/06/2014
VIAV,23.46416473,24.28185463,24.28185463,23.32195663,24.60181999,916400,11/09/1998
AHL,28.09000015,27.48999977,23.27166367,27.40999985,28.10000038,498300,26/08/2010
AAPL,1.214285731,1.178571463,0.11968144,1.178571463,1.232142806,48795600,22/02/1990
RAVN,1.916666627,1.854166627,0.038479842,1.854166627,1.916666627,24800,27/07/1993
CAAS,2.950000048,2.960000038,2.900601864,2.910000086,3.25,52100,22/12/2008
FLWS,6.289999962,6.369999886,6.369999886,6.099999905,6.369999886,85600,19/02/2003
CAAS,6.78000021,6.829999924,6.692943096,6.630000114,6.949999809,40100,18/08/2006
AMSWA,16.25,15.625,6.572012901,15.5,16.25,118500,20/04/1992
RAVN,0.34375,0.340277791,0.00013521,0.340277791,0.34375,33600,20/09/1985
CLWT,2.959019899,3.021980047,3.021980047,2.455359936,3.021980047,1200,02/03/2001
FLWS,12.75,12.69999981,12.69999981,12.64999962,12.89999962,50900,17/07/2018
EGHT,10.5,10.39000034,10.39000034,10.35999966,10.64000034,1216400,26/02/2014
APO,27.14999962,27.32999992,24.86285782,26.93000031,27.35000038,1121300,16/05/2017
AAPL,1.928571463,1.931428552,1.297918797,1.922142863,1.954285741,104973400,26/03/2004
RRD,10.375,10.375,2.341655254,10.3125,10.53125,139200,21/11/1983
BRFS,5.544166565,5.554166794,4.781763554,5.48083353,5.616666794,415200,15/02/2006
GTS,25.22999954,24.29999924,24.29999924,24.19000053,25.32999992,182100,28/02/2018
GTN,15.05000019,15.30000019,15.30000019,14.80000019,15.44999981,1031100,27/04/2017
MHF,9.625,9.625,2.991285086,9.5625,9.625,52500,08/06/1998
AAPL,1.412142873,1.450714231,0.974878907,1.411428571,1.477857113,75948600,12/06/2001
MHD,16.25,16.1875,4.340936661,16.1875,16.25,13400,10/02/1999
AMSWA,6.611111164,6.777777672,2.658691168,6.611111164,6.833333492,290200,21/11/1988
MHD,16.15999985,16.28000069,13.012743,16.12999916,16.28000069,53500,16/10/2014
BRFS,12.69999981,12.76000023,11.39966774,12.67000008,13,1006900,07/06/2010
AHH,15.06999969,15.09000015,15.09000015,14.96000004,15.21000004,291800,24/07/2018
AMSWA,5.940000057,5.989999771,3.902909517,5.940000057,6.03000021,35000,13/01/2010
RAVN,1.791666627,1.875,0.101845823,1.791666627,1.875,94400,30/12/1996
AAPL,1.723214269,1.303571463,0.066758633,1.267857194,1.723214269,119000000,19/10/1987
AAPL,6.108571529,6.115714073,4.10975647,5.978571415,6.144285679,189154700,04/03/2005
AAPL,1.803571463,1.8125,0.31468147,1.803571463,1.839285731,8523200,29/11/1991
MHF,7.375,7.3125,2.515281677,7.3125,7.4375,87800,27/12/1999
